decoder_family,calibration_mode,bin_index,empirical_accuracy,lower_bound,mean_confidence,sample_count,upper_bound
csp_lda,identity,0,0.0,0.0,0.0,0,0.1
csp_lda,identity,1,0.0,0.1,0.0,0,0.2
csp_lda,identity,2,0.0,0.2,0.0,0,0.30000000000000004
csp_lda,identity,3,0.0,0.30000000000000004,0.0,0,0.4
csp_lda,identity,4,0.0,0.4,0.0,0,0.5
csp_lda,identity,5,0.6050420168067226,0.5,0.5492422865208946,119,0.6000000000000001
csp_lda,identity,6,0.6896551724137931,0.6000000000000001,0.6523307130500151,87,0.7000000000000001
csp_lda,identity,7,0.7183098591549296,0.7000000000000001,0.7517050919075985,71,0.8
csp_lda,identity,8,0.7307692307692307,0.8,0.8359321625020293,26,0.9
csp_lda,identity,9,0.0,0.9,0.0,0,1.0
csp_lda,calibrated,0,0.0,0.0,0.0,0,0.1
csp_lda,calibrated,1,0.0,0.1,0.0,0,0.2
csp_lda,calibrated,2,0.0,0.2,0.0,0,0.30000000000000004
csp_lda,calibrated,3,0.0,0.30000000000000004,0.0,0,0.4
csp_lda,calibrated,4,0.0,0.4,0.0,0,0.5
csp_lda,calibrated,5,0.6090225563909775,0.5,0.5479804997233497,133,0.6000000000000001
csp_lda,calibrated,6,0.6666666666666666,0.6000000000000001,0.6501589478031304,90,0.7000000000000001
csp_lda,calibrated,7,0.7101449275362319,0.7000000000000001,0.7443327128658772,69,0.8
csp_lda,calibrated,8,0.8181818181818182,0.8,0.8236373044683755,11,0.9
csp_lda,calibrated,9,0.0,0.9,0.0,0,1.0
eegnet,identity,0,0.0,0.0,0.0,0,0.1
eegnet,identity,1,0.0,0.1,0.0,0,0.2
eegnet,identity,2,0.0,0.2,0.0,0,0.30000000000000004
eegnet,identity,3,0.0,0.30000000000000004,0.0,0,0.4
eegnet,identity,4,0.0,0.4,0.0,0,0.5
eegnet,identity,5,0.5206611570247934,0.5,0.5547208820492768,121,0.6000000000000001
eegnet,identity,6,0.5405405405405406,0.6000000000000001,0.6445234297095118,74,0.7000000000000001
eegnet,identity,7,0.5652173913043478,0.7000000000000001,0.7430406096188918,46,0.8
eegnet,identity,8,0.7586206896551724,0.8,0.8318669960416597,29,0.9
eegnet,identity,9,0.9393939393939394,0.9,0.9412707180687876,33,1.0
eegnet,calibrated,0,0.0,0.0,0.0,0,0.1
eegnet,calibrated,1,0.0,0.1,0.0,0,0.2
eegnet,calibrated,2,0.0,0.2,0.0,0,0.30000000000000004
eegnet,calibrated,3,0.0,0.30000000000000004,0.0,0,0.4
eegnet,calibrated,4,0.0,0.4,0.0,0,0.5
eegnet,calibrated,5,0.52,0.5,0.5501659329453986,150,0.6000000000000001
eegnet,calibrated,6,0.5526315789473685,0.6000000000000001,0.6479101414186508,76,0.7000000000000001
eegnet,calibrated,7,0.675,0.7000000000000001,0.7454348336604434,40,0.8
eegnet,calibrated,8,0.96,0.8,0.8616392185493431,25,0.9
eegnet,calibrated,9,0.9166666666666666,0.9,0.9346271047001182,12,1.0
