decoder_family,ablation,removed_component,episode_count,success_count,success_rate,mean_evidence_count,wrong_all_rate,navigation_success_count,navigation_denominator,subject_ids
csp_lda,full,,38,32,0.8421052631578947,4.368421052631579,0.15789473684210525,38,38,16|21|29|31|34|76|89|93
csp_lda,full_minus_calibration,calibration,38,32,0.8421052631578947,4.157894736842105,0.15789473684210525,38,38,16|21|29|31|34|76|89|93
csp_lda,full_minus_bayes,sequential_bayes,38,38,1.0,5.0,0.0,38,38,16|21|29|31|34|76|89|93
csp_lda,full_minus_uncertainty,uncertainty_gating,38,28,0.7368421052631579,5.0,0.2631578947368421,38,38,16|21|29|31|34|76|89|93
csp_lda,full_minus_safety,hard_safety,38,32,0.8421052631578947,4.368421052631579,0.15789473684210525,38,38,16|21|29|31|34|76|89|93
csp_lda,full_minus_adaptation,adaptation,38,32,0.8421052631578947,4.342105263157895,0.15789473684210525,38,38,16|21|29|31|34|76|89|93
eegnet,full,,38,36,0.9473684210526315,4.394736842105263,0.05263157894736842,38,38,16|21|29|31|34|76|89|93
eegnet,full_minus_calibration,calibration,38,32,0.8421052631578947,3.9473684210526314,0.15789473684210525,38,38,16|21|29|31|34|76|89|93
eegnet,full_minus_bayes,sequential_bayes,38,38,1.0,4.894736842105263,0.0,38,38,16|21|29|31|34|76|89|93
eegnet,full_minus_uncertainty,uncertainty_gating,38,24,0.631578947368421,5.0,0.3684210526315789,38,38,16|21|29|31|34|76|89|93
eegnet,full_minus_safety,hard_safety,38,36,0.9473684210526315,4.394736842105263,0.05263157894736842,38,38,16|21|29|31|34|76|89|93
eegnet,full_minus_adaptation,adaptation,38,36,0.9473684210526315,4.368421052631579,0.05263157894736842,38,38,16|21|29|31|34|76|89|93
