decoder_family,condition,severity,episode_count,success_count,success_rate,mean_evidence_count,subject_ids,population_size,realized_contamination_count,realized_contamination_fraction
csp_lda,A,0.0,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,A,0.1,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,A,0.2,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,A,0.3,38,26,0.6842105263157895,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,A,0.4,38,24,0.631578947368421,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,B,0.0,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,B,0.1,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,B,0.2,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,B,0.3,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,B,0.4,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
csp_lda,C,0.0,38,32,0.8421052631578947,4.342105263157895,16|21|29|31|34|76|89|93,190,,
csp_lda,C,0.1,38,33,0.868421052631579,4.473684210526316,16|21|29|31|34|76|89|93,190,,
csp_lda,C,0.2,38,35,0.9210526315789473,4.684210526315789,16|21|29|31|34|76|89|93,190,,
csp_lda,C,0.3,38,35,0.9210526315789473,4.7894736842105265,16|21|29|31|34|76|89|93,190,,
csp_lda,C,0.4,38,37,0.9736842105263158,4.894736842105263,16|21|29|31|34|76|89|93,190,,
csp_lda,D,0.0,38,32,0.8421052631578947,4.368421052631579,16|21|29|31|34|76|89|93,190,,
csp_lda,D,0.1,38,32,0.8421052631578947,4.447368421052632,16|21|29|31|34|76|89|93,190,,
csp_lda,D,0.2,38,35,0.9210526315789473,4.684210526315789,16|21|29|31|34|76|89|93,190,,
csp_lda,D,0.3,38,35,0.9210526315789473,4.7894736842105265,16|21|29|31|34|76|89|93,190,,
csp_lda,D,0.4,38,36,0.9473684210526315,4.894736842105263,16|21|29|31|34|76|89|93,190,,
eegnet,A,0.0,38,23,0.6052631578947368,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,A,0.1,38,21,0.5526315789473685,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,A,0.2,38,25,0.6578947368421053,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,A,0.3,38,26,0.6842105263157895,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,A,0.4,38,24,0.631578947368421,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,B,0.0,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,B,0.1,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,B,0.2,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,B,0.3,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,B,0.4,38,38,1.0,1.0,16|21|29|31|34|76|89|93,38,,
eegnet,C,0.0,38,36,0.9473684210526315,4.368421052631579,16|21|29|31|34|76|89|93,190,,
eegnet,C,0.1,38,36,0.9473684210526315,4.421052631578948,16|21|29|31|34|76|89|93,190,,
eegnet,C,0.2,38,37,0.9736842105263158,4.578947368421052,16|21|29|31|34|76|89|93,190,,
eegnet,C,0.3,38,34,0.8947368421052632,4.526315789473684,16|21|29|31|34|76|89|93,190,,
eegnet,C,0.4,38,35,0.9210526315789473,4.578947368421052,16|21|29|31|34|76|89|93,190,,
eegnet,D,0.0,38,36,0.9473684210526315,4.394736842105263,16|21|29|31|34|76|89|93,190,,
eegnet,D,0.1,38,36,0.9473684210526315,4.394736842105263,16|21|29|31|34|76|89|93,190,,
eegnet,D,0.2,38,36,0.9473684210526315,4.526315789473684,16|21|29|31|34|76|89|93,190,,
eegnet,D,0.3,38,35,0.9210526315789473,4.5,16|21|29|31|34|76|89|93,190,,
eegnet,D,0.4,38,35,0.9210526315789473,4.526315789473684,16|21|29|31|34|76|89|93,190,,
