decoder_family,subject_id,correctness,episode_count,observation_count
csp_lda,16,0.53125,32,32
csp_lda,21,0.6111111111111112,18,18
csp_lda,29,0.90625,32,32
csp_lda,31,0.7407407407407407,27,27
csp_lda,34,0.8372093023255814,43,43
csp_lda,57,0.6666666666666666,12,12
csp_lda,76,0.5,42,42
csp_lda,84,0.5714285714285714,7,7
csp_lda,89,0.5111111111111111,45,45
csp_lda,93,0.7333333333333333,45,45
eegnet,16,0.5625,32,32
eegnet,21,0.5555555555555556,18,18
eegnet,29,0.59375,32,32
eegnet,31,0.5555555555555556,27,27
eegnet,34,0.813953488372093,43,43
eegnet,57,0.4166666666666667,12,12
eegnet,76,0.47619047619047616,42,42
eegnet,84,0.7142857142857143,7,7
eegnet,89,0.4888888888888889,45,45
eegnet,93,0.7333333333333333,45,45
