category,result_status,count
preprocessing_qc_exclusion,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
decoder_misclassification,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
calibration_miscalibration,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
misleading_bayesian_evidence,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
confirm,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
defer,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
simulated_human_override,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
wrong_autonomous_commitment,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
no_approved_goal,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
planner_no_safe_path,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
safety_rejection,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
prohibited_hazard_attempt,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
replanning,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
emergency_stop,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
environment_execution,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
adaptation_update,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
adaptation_warm_up,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
adaptation_bound,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
adaptation_helped,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
adaptation_hurt,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
robustness_degradation,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
provenance_manifest_artifact_failure,COUNTS_DERIVED_FROM_PER_EPISODE_TRACES,NOT_AGGREGATED_IN_RESULT_SCHEMA
